Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_5862,1,0,0,1671,36,26,0.805234953,18.08480331,65.71428571,5.813819578
OpenStack_4603,0,49,0,0,0,1,0,5.868470126,22.57894737,7.560344828
OpenStack_1569,0,18,0,0,0,1,0,6.012475954,25.63157895,7.004065041
OpenStack_3422,0,0,0,0,0,0,0,6.375041876,22.11111111,7.004464286
OpenStack_7451,1,9,0,2854,109,90,1.433410084,37.26131002,119.75,6.181333333
OpenStack_1726,0,50,0,3112,75,10,2.449066676,16.71752212,65.86363636,5.963553531
OpenStack_3926,0,3,0,80,3,1,0,6.509232256,25.05882353,7.22972973
OpenStack_2020,0,1,0,473,6,1,0,6.293650794,25.28571429,6.923357664
OpenStack_1386,0,56,0,2008,54,2,1.013609578,8.383132832,38,6.729970326
OpenStack_3927,0,100,0,11090,250,1,0,7.479497687,26.17647059,6.987234043
OpenStack_5808,0,2,0,0,0,0,0,7.047536765,22.58823529,6.959276018
OpenStack_6207,1,42,0,2758,77,0,0.456497623,7.846672932,33.25,6.35472973
OpenStack_3361,0,23,0,2716,103,6,0,10.20121718,41.61111111,6.28802589
OpenStack_423,2,17,0,519,15,6,0.430827083,10.78598997,42,8.494350282
OpenStack_5094,0,43,0,8456,270,5,0,9.262765423,38.58823529,6.176870748
OpenStack_3880,0,24,0,7605,237,1,0,7.523421369,28.82352941,6.829959514
OpenStack_3700,0,60,0,9170,296,1,0,5.634640998,23.05,7.188284519
OpenStack_1149,2,0,0,1296,18,213,1.124718884,54.6303034,169.2857143,5.380359613
OpenStack_2080,1,134,0,430,16,6,1.720084268,8.56531746,34.28571429,6.67251462
OpenStack_6767,0,17,0,3877,161,34,0,20.69898504,72.05263158,7.060952381
OpenStack_1516,1,15,0,3869,15,1,0,6.253690915,24.78947368,7.814814815
OpenStack_4709,0,41,0,8486,274,2,0,6.752809124,28.82352941,7.432773109
OpenStack_683,0,31,0,0,0,2,0,6.350882353,24,6.99537037
OpenStack_1316,1,116,0,18576,468,0,0.528320834,9.081547619,36.75,6.779503106
OpenStack_1420,0,3,0,0,0,2,0,8.780441646,36.82352941,6.334586466
